16;2017;244;0;-1.578;N/S;-1.418;N/S;0;0;-19.18;80.00;1009.90;N/S;3.617;55.3
16;2017;244;1;-1.553;N/S;-1.446;N/S;0;0;-18.54;79.80;1009.90;N/S;4.141;58.4
16;2017;244;2;-1.519;N/S;-1.418;N/S;0;0;-18.85;80.20;1009.30;N/S;3.259;52.7
16;2017;244;3;-1.531;N/S;-1.430;N/S;0;0;-18.24;80.00;1009.60;N/S;2.807;50.9
16;2017;244;4;-1.575;N/S;-1.481;N/S;0;0;-18.71;80.00;1010.00;N/S;2.829;65.4
16;2017;244;5;-1.575;N/S;-1.493;N/S;0;0;-20.42;80.10;1009.60;N/S;2.431;55.2
16;2017;244;6;-1.593;N/S;-1.493;N/S;0;0;-19.78;80.00;1009.30;N/S;3.321;54.3
16;2017;244;7;-1.578;N/S;-1.484;N/S;0;0;-19.15;79.80;1009.90;N/S;2.036;45.1
16;2017;244;8;-1.602;N/S;-1.471;N/S;0;0;-16.77;80.00;1009.90;N/S;3.685;52.1
16;2017;244;9;-1.636;N/S;-1.449;N/S;0;0;-23.32;80.30;1009.20;N/S;4.657;56.8
16;2017;244;10;-1.550;N/S;-1.465;N/S;0;0;-20.42;80.20;1009.80;N/S;3.145;66.6
16;2017;244;11;-1.584;N/S;-1.490;N/S;0;0;-17.84;80.10;1010.10;N/S;3.204;60.1
16;2017;244;12;-1.575;N/S;-1.471;N/S;0;0;-15.60;80.00;1009.60;N/S;2.585;65.6
16;2017;244;13;-1.633;N/S;-1.468;N/S;0;0;-21.79;79.90;1009.30;N/S;2.168;51.3
16;2017;244;14;-1.609;N/S;-1.440;N/S;0;0;-39.24;80.40;1010.00;N/S;3.690;42.0
16;2017;244;15;-1.547;N/S;-1.415;N/S;0;0;-42.28;80.30;1010.00;N/S;3.499;51.4
16;2017;244;16;-1.525;N/S;-1.430;N/S;0;0;-42.78;80.40;1009.20;N/S;2.526;56.2
16;2017;244;17;-1.578;N/S;-1.424;N/S;0;0;-42.48;80.20;1009.80;N/S;3.011;60.2
16;2017;244;18;-1.587;N/S;-1.449;N/S;0;0;-43.45;80.20;1010.20;N/S;2.782;56.9
16;2017;244;19;-1.562;N/S;-1.411;N/S;0;0;-42.81;80.00;1009.60;N/S;2.831;57.8
16;2017;244;20;-1.559;N/S;-1.418;N/S;0;0;-43.38;80.20;1009.50;N/S;2.462;58.9
